title,artist
A ma place,Axel Bauer / Zazie
Ain't No Sunshine,Bill Withers
Aline,Christophe
All I Want For Christmas Is You,"Mariah Carey, Justin Bieber"
Allumer le feu,J. Hallyday
Amsterdam,Jacques Brel
Bambino,Dalida
Bella Ciao,Yves Montand
Blowin'In The Wind,Bob Dylan
Bésame Mucho,"Cesaria Evora, Dalida"
C'est la Ouate,Caroline Loeb
C'est si bon,Yves Montand
Can't Help Falling In Love,Elvis Presley
Champs Elysées,Joe Dassin
Comic Strip,Serge Gainsbourg
Comme d'Habitude,Claude François
Comme un Boomerang,"Gainsbourg, Dani et Daho"
Comment Te Dire Adieu,Françoise Hardy
Couleur Café,Serge Gainsbourg
Couleur Menthe à l'eau,Eddy Mitchell
Crazy,Gnarls Barkley
Creep,RadioHead
Diego Libre Dans Sa Tête,Michel Berger
Diggin' My Grave,Lady Gaga
Dirty Old Town,"Pogues, Ewan MacColl"
Dommage,Bigflo et Oly
Don't Play That Song (You Lied),"B. Springsteen, A. Celentano; A. Franklin"
Dream a Little Dream of You,Louis Armstrong et Ella Fitzgerald
Ecce Homo,Serge Gainsbourg
El Viento,Manu Chao
Emmenez-moi,Charles Aznavour
"Et Moi, Et Moi, Et Moi",Jacques Dutronc
Eternal Flame,Bangles
Facile,Camélia Jordana
Feeling Good,Nina Simone
Femme Libérée,Cookie Dingler
Fly Me To The Moon,"Bart Howard, Franck Sinatra"
Foule Sentimentale,Alain Souchon
Harley Davidson,Serge Gainsbourg
Hey Jude,Beatles
Honesty,Billy Joel
Hotel California,Eagles
How Insensitive,Tom Jobim
I Put A Spell On You,Annie Lennox
I Shot The Sheriff,Bob Marley
I Will Survive,Gloria Gaynor
Il est libre Max,Hervé Cristiani
Il jouait du piano debout,"Michel Berger, France Gall"
Imagine,John Lennon
J'ai demandé à la lune,Indochine
J'irai où tu iras,Céline Dion et Jean-Jacques Goldman
Jardin d'Hiver,"Henri Salvador, Benjamin Biolay"
Je l'aime à Mourir,Francis Cabrel
Je te promets,Johnny Hallyday
Jingle Bells,Frank Sinatra
Jolene,Dolly Parton
Just The Two Of Us,Bill Withers
Killing Me Softly,Fugees
Knocking on Heaven's Door,Bob Dylan
L'amant de Saint-Jean,Lucienne Delyle
L'Anamour,Serge Gainsbourg
La ballade de Jim,Alain Souchon
La Bohème,Charles Aznavour
La Bonne Etoile,M
La chanson d'Émilie Jolie et du Grand Oiseau,Julien Clerc
La Colegiala,Walter Leon Aguilar
La Dame de Haute Savoie,Francis Cabrel
La fille du père Noël,Jacques Dutronc
La Foule,Edith Piaf
La Gadoue,Petula Clark / Jane Birkin
La Javanaise,Serge Gainsbourg
La symphonie des éclairs,Zaho de Sagazan
La tendresse,Bourvil
La vie en rose,Edith Piaf
La Voix Des Sages,Yannick Noah
Lady (Hear Me Tonight),Modjo
Laissez-moi danser,Dalida
Le chanteur,Daniel Balavoine
Le Chasseur,Michel Delpech
Le Coup De Soleil,Richard Cocciante
Le Pénitencier,Johnny Hallyday
Le Sud,Nino Ferrer
Le Tourbillon de la Vie,Jeanne Moreau
Le Téléfon,Nino Ferrer
Le Voyage En Italie,Lilicub
Les Cactus,Jacques Dutronc
Les Copains d'abord,George Brassens
Les Cornichons,Nino Ferrer
Les Feuilles Mortes,Yves Montand
Les Mots Bleus,"Christophe, Alain Bashung"
Les moulins de mon coeur,Michel Legrand
Les petits papiers,Régine
Les Planètes,M. Pokora
Let it be,Beatles
Let It Snow! Let It Snow! Let It Snow!,"F. Sinatra, D. Martin"
Ma philosophie,Amel Bent
Macumba,Jean-Pierre Mader
Mamy Blue,Nicoletta
Mangez-moi mangez-moi,Billy ze Kick
Marcia Baila,Rita Mitsouko
Marlène,Noir Désir
Merry Christmas,Ed Sheeran & Elton John
Mon fils ma bataille,Daniel Balavoine
Mourir sur Scène,Dalida
My heart will go on,Céline Dion
My Way,Frank Sinatra
Natural Mystic,Bob Marley
New York avec toi,Téléphone
No Woman No Cry,Bob Marley
On ira tous au paradis,Michel Polnareff
Partenaire Particulier,Fettweis Sudreau
Pas Assez de Toi,Mano Negra
Pas de Boogie Woogie,Eddy Mitchell
Pendant que les champs brûlent,Niagara
Petit garçon,Graeme Allwright
Porque te vas,Jeanette
Pour que tu m'aimes encore,Céline Dion
Quand la musique est bonne,Jean-Jacques Goldman
Redemption Song,Bob Marley
Return To Sender,Elvis Presley
Rock Amadour,Gérard Blanchard
Rockin' Around The Christmas Tree,Brenda Lee
S'il suffisait d'aimer,Céline Dion
Santiano,Hughes Aufray
Sarbacane,Francis Cabrel
Shallow,Lady Gaga
Sing Sing Song,Claude Nougaro
Soulman,Ben l'Oncle Soul
Stand By Me,Ben E. King
Stand By Your Man,Tammy Wynette
Summertime,George Gershwin
Sunny,Bobby Hebb
Super Nana,"Michel Jonasz, JC Vannier"
Sweet Dreams (Are Made Of This),Eurythmics
Sweet Home Chicago,"Robert Johnson, The Blues Brothers"
Sympathique (Je ne veux pas travailler),Pink Martini
The Girl From Ipanema,Tom Jobim et Vinicius Moraes
The House of The Rising Sun,The Animals
The Letter,The Box Tops
The Man I Love,Ella Fitzgerald
These Boots Are Made For Walking,Nancy Sinatra
Tout Doucement,Bibie
Tout le bonheur du monde,Sinsemilia
Toute la musique que j'aime,Johnny Hallyday
Toute La Pluie Tombe Sur Moi,Sacha Distel / Eddy Mitchell
Vieille Canaille,Serge Gainsbourg
Vive Le Vent,Divers
Walk Like An Egyptian,Bangles
Walk On The Wild Side,Lou Reed
What A Wonderful World,Louis Armstrong
What's up,4 Non Blondes
Wish You Were Here,Pink Floyd
Yesterday,Beatles
You Know I'm No Good,Amy Winehouse
You Never Can Tell,Chuck Berry
